Survey Year,Fullstring,Category 1,Sub-category 1,Category 2,Sub-category 2,Category 3,Sub-category 3,Category 4,Sub-category 4,Category 5,Sub-category 5,Category 6,Sub-category 6,Category 7,Sub-category 7,Category 8,Sub-category 8
2015,"The ability to afford to buy a small house with a garden.  Dream on.  Got a spare $1.6 million??    Santa Monica caters to the extremely wealthy and the extremely poor.  Got many millions?  This place is great.  Got nothing, or need subsidized housing?  Santa Monica is great.  But working people in the middle are being marginalized and forced out by extraordinary house prices and breath-taking rent.  So it becomes a community of extremes, of trust funds and rent control. It is becoming an increasingly polarized community, with the middle being excluded politically and economically.  This leads me to feel disconnected and irrelevant in the community I have lived in and raised a child for 13 years.  Indeed, I feel a greater emotional connection with communities I have lived in for far less time.  For a small community, Santa Monica is exclusive (in the least flattering meaning of that term).  All in all, the place (I can't think of it as ""home"" even after all this time) has been a profound disappointment.",Housing,Affordability,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,
2015,"May I speak my mind?   I'd like to be able move myself and my child out of my small 1 bedroom apartment [XXX] into an AFFORDABLE 2 bedroom here in the Westside neighborhood I was born in 57 years ago. Here we have excess overdevelopment with nothing affordable! This does not make for diversity, it insures only wealthy can live here (or section 8) and screens out many high quality and culturally different people. The city has gotten more and more unfriendly and the businesses are less practical and cater to tourism and ""pleasure"".    Traffic is extremely bad and makes me feel sold out by our local government. They built lovely Tongva Park but no place to park. As an individual, I am delighted with my life, even though I am disabled, and I owe that to my faith in God.  But I am deeply saddened by the fact that to remain here I have to live in a cramped 1 bedroom. I love this city but it is tragic what is happening to it. SM is also becoming Godless-and that is the most tragic thing for this city.",Housing,Affordability,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,
2015,"Housing Affordable Developers Contracts enforced by there City Agreements, Stop Harassments!!! of tenants, What about the WELLBEING OF FAMILIES? [XXX] Contacted many City departments they did NOTHING!!! Made it worse, for myself and my family!! WALK THE TALK! Santa Monica Wellbeing of residents, We both nearly died there. We did not  move there with a parking ticket... No record.  By the time we were annihilated we were almost destroyed as a family emotionally, financially, and   physically GO Figure true story well documented.",Housing,Affordability,Development,Against development,,,,,,,,,,,,
2015,Stop building more apts and condos. The city is way too congested and noisy. Theres too much traffic. I feel trapped in my neighborhood because I dont want to drive and look for parking and deal with crowds. No place to park your car. I couldnt afford to live here without rent control.,Housing,Affordability,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,
2015,"I would like to improve my sense of community. As someone who writes in his spare time, it is often difficult to balance working, working on my own projects (which typically involves me working alone), and then finding the time to be involved in a greater sense of commmunity beyond my job, my perosnal artisitic pursuits, and just the mundane tasks of taking care of oneself. Santa Monica is a beatuful city in terms of looks, but I wouldn't apply that to an overall sense of being. Albeit, I haven't lived here too long, but often I find the city, or at least in the neighborhoods I freqent (Ocean Park, downtown) to be hyper-consumer oriented, high priced, touristy, and devoid of a true idenity beyond it's closeness to the ocean. As someone who does not make a lot of money it can be strange living in a city where so much emphasis is placed on personal wealth (most restauarnts, shops, and food stores are very expensive). This can be isolating, and I don't have any definite suggestions as in how to improve this, but making the city more accesible, more open to change would be a start.",Personal,Social/Engage with community,Development,Against development,,,,,,,,,,,,
2015,"for my own wellbeing, I would like to be able to be a stay at home mom instead of working full time to make ends meet. For the community, I have seen an enormous boom in the population the years that I have lived here and feel that it has become too crowded. I see the reason for the growth and development, but lately I feel that there is half of a city I can't even visit because it is too crowded or the stores are way out of my price range (downtown Santa Monica). I am concerned about how many more people will come when the new rail systems starts. Thank you for offering this survey.",Personal,Other,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,
2015,"I would like to get more involved in charitable activities.  I would also like to be more involved in protesting additional development.  Santa Monica is too crowded of a city and needs to limit the traffic.  Adding additional properties that exceed the current housing units will create more congestion and parking issues, which is already inefficient at the moment.",Personal,Volunteer,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,
2015,"traffic has become a nightmare in Santa Monica. My husband and I cannot drive south or east if we want to go out during the week. The streets are completely gridlocked. We never go downtown anymore, due  to the noise and traffic. The city council keeps approving development projects without really giving a  thought to the problems we already have, due to the current development.The residents that pay the taxes are being bombarded, and no one seems to care. That is hurting my well being!",Transport,Congestion,Development,Against development - Congestion/Overcrowding,,,,,,,,,,,,
2015,"The city is overcrowded and it leads to traffic, pollution, grumpy drivers, insane-risk-taking-cyclists and a generally poor quality of life. This survey asked a lot of silly questions about 'do people smile at you' but didn't address the things the city can actually do something about, like traffic and over development. If you really want to make a difference, ask relevant questions. This was a waste of time. Shame on you.",Transport,Congestion,Development,Against development,,,,,,,,,,,,
2015,"I think the bike lane should be on Colorado instead of Broadway as it seems wider and has less traffic.  I think also that they should stop tearing down the old and funky, trailer park and trying to get rid of the airport, and putting in more condos and increasing traffic.  The 1% appears to be taking over!",Transport,Improved infrastructure for cycling/pedestrians,Development,Against development,,,,,,,,,,,,
2015,"Menos. Trafico, un centro commercial mas para personas de Santa Monica y menos para Los Rico's y turistas, Los envargados que hagan lo que Los pie demos y no aser loque las personas que les dan dinero digan",Transport,Congestion,Development,Positive,,,,,,,,,,,,
2015,"Traffic and stopping the outrageous over-development of this beautiful city.   We are at a tipping point; let's make the best decisions to keep our city a community, not a business center :)",Transport,Congestion,Development,Against development,,,,,,,,,,,,
2015,Where are the questions about how I feel about traffic and overdevelopment?  These are the two most important issues facing out community.  Why are these not included?,Transport,Congestion,Development,Against development,,,,,,,,,,,,
2015,More recycling blue bins need to be available for multi-family. Perhaps more street sweeping? it is always very dusty in the 90404! Otherwise it's all good :),City general,Cleanliness/Maintenance,Environment,Improve environmental sustainability,,,,,,,,,,,,
2015,"Have Santa Monica stand by their ""sustainability city"" pledge, by lifting the permits required by motorcycles.  Motorcycles are fuel efficient vehicles, that take up a much smaller carbon foot print than a car.  The risk alone, involved in riding one, should make all motorcyclists exempt from any parking permit.  There is NO PLACE TO PUT A PERMIT ON A MOTORCYCLE WITHOUT IT GETTING STOLEN.  I own a motorcycle safety school and pay a yearly business tax to the City of Santa Monica.  Santa Monica needs to be more small business friendly.  It is my ONLY complaint about this city.",Development,More diverse and independent businesses,Environment,Improve environmental sustainability,,,,,,,,,,,,
2015,Slow down development.  Our streets have become parking lots.  Traffic makes it impossible to leave town    We are short of water. My neighbors and I are very upset about these problems.  They will determine how we vote this election,Development,Against development - Congestion/Overcrowding,Environment,Water security,,,,,,,,,,,,
2015,Stop allowing development until traffic improves about 500% and we have enough water to last for the people and businesses already here.,Development,Against development - Congestion/Overcrowding,Environment,Water security,,,,,,,,,,,,
2015,"Find that Santa Monica is less pollitically correct in enforcing environmental laws that may not be ture, appropriate, or well thought out... i.e., no plasticl bags at checkout, although plastic bags are offered at the vegetable sections. Most people now buy plastic bags for their garbage, replacing the plastic they got at the grocery store. SM needs to promote biodegradable plastic or offer a more considered ruling!  Regarding the Blue Bus which I depend on, I just discovered that the #3M no longer goes as far as 4th St and Broadway to connect with the #1, 8, and 7, and 2 Metro Rapid buses. It stops at 4 and Santa Monica BLVD where it connects with only 2 buses -- the #1 and 10s. Stupid. Also, there are many stops without benches on one side of the street, although the other sidfe has a bench.  Whoever approved the booddoggle of new seats and ""shaded???"" poles at the bus stops has cost SM citizens a great deal of money, and has not offered any improvement to servie although it has inconvenienced those of us who depend on bus travel.",Housing,Affordability,Environment,Improve environmental sustainability,,,,,,,,,,,,
2015,"More affordable housing.  I am in a rent control building, but if I want to move, rents have gone up so much in the past 4 years, I would likely have to move out of Santa Monica.  Other than that, I wish Santa Monica would go carbon neutral if possible by looking into those Solar Roadways. We have abundant sun and could be a model city for solar roads.  I already wrote the city council about it and one wrote back saying he is looking into it.  Check it out here: http://www.solarroadways.com/intro.shtml.  How cool would that be?",Housing,Affordability,Environment,Improve environmental sustainability,,,,,,,,,,,,
2015,"There are two things that make life in Santa Monica more difficult: cost of living and the homeless  Here are some possible solutions:  1) Build more apartments; the city is so unbelievably anti-development, and this decreases the housing supply  2) Allow apartments to rent for their fair market value; imposing rent controls makes Santa Monica less attractive to develop  3) Deregulate and loosen environmental rules; these are very costly for business and developers, and it passes the cost on to the rest of us  4) Address the homeless problem by incorporating housing-first policies and forcing the treatment of mental disease and chemical dependency. Homelessness is bad for the homeless themselves, tourism, and overall quality of life",Local services,Homeless,Environment,Other,,,,,,,,,,,,
2015,1. Allowing more affordable living.    2. Clean up Lincoln blvd south of Pico to Rose and further if possible.,City general,Cleanliness/Maintenance,Housing,Affordability,,,,,,,,,,,,
2015,"I would like to have a greater sense of community with other families. Unfortunately, everyone we know wants to move because they can't afford to buy a house. We all live in small cramped apartments or condos and our kids don't have yard to play in. So, I guess the one thing I would like to change would be affordability of houses with yards so that families can buy them (though I realize that this will never happen).",Community,Integration/Neighborliness,Housing,Affordability,,,,,,,,,,,,
2015,Get rid of the freeway Too noisy. Put a cap on it  from 14th thru the tunnel.   far too many building projects.  Single family houses to condos. Too much noise and dirt and exhaust.   Too many helicopters overhead.  Too much traffic.  Too many Transients  Over building is out of control.  STOP  Get rid of the airport,Community,Other,Housing,Affordability,,,,,,,,,,,,
2015,Have more community/neighborhood events - like street fairs (not just events at the Promenade) but an opportunity to get to your neighborhoods. Also lower rent :).,Community,Integration/Neighborliness,Housing,Affordability,,,,,,,,,,,,
2015,Have more classes on spirituality and consciousness free of charge available to residents.  And abandon rent control that brings the real-estate prices down.,Community,Integration/Neighborliness,Housing,Remove rent control/Address gaming the system,,,,,,,,,,,,
2015,"It would be awesome if the corporatization of SM could be slowed down. It is really turning into Pleasantville.    Also, the rent control situation has to change. When you have rent control, but also allow landlords to raise to market rate when people move out, you stack *all* the incentives for landlords to become slumlords and try to push current residents out, especially long-term tenants. That is, they try to avoid doing regular maintenance, etc.. until the tenant moves out, and only then do they do the basic repairs, whatever is enough to get someone to move in at the new market rate. The result is that all the apartments are crappy, and the longest-dwelling citizens -- who are the ones that actually make up a lot of the community -- get pushed out in favor of younger, wealthier, but disengaged yuppies. Either dump rent control entirely, or else put a plan in place which incentivizes landlords to do routine maintenance without trying to push out their longtime tenants.",Development,Against development,Housing,Remove rent control/Address gaming the system,,,,,,,,,,,,
2015,"Over development and traffic is deplorable.  Elected officials are all on the take.  SMRR affordable housing is a joke, its not available to residents even though they say it is.  City government needs to be audited by an outside firm!",Development,Against development - Congestion/Overcrowding,Housing,Affordability,,,,,,,,,,,,
2015,"Actively influence over-development and ugly architecture/infrastructure to prevent congestion, hi-rise building which blocks ocean views and air, and put a cap on monthly rental rates.",Development,Against development,Housing,Affordability,,,,,,,,,,,,
2015,Move away to where there is not so much construction and traffic. Someplace that is more affordable.,Development,Against development - Congestion/Overcrowding,Housing,Affordability,,,,,,,,,,,,
2015,Put brakes on development  Change Councilmembers  Shrink City Hall  Get rid of SMRR,Development,Against development,Housing,Remove rent control/Address gaming the system,,,,,,,,,,,,
2015,"Less focus on commercial development, more focus on affordable housing.",Development,Against development,Housing,Affordability,,,,,,,,,,,,
2015,More respect for middle class affordability. And less development!,Development,Against development,Housing,Affordability,,,,,,,,,,,,
2015,more affordable rent. No more development,Development,Against development,Housing,Affordability,,,,,,,,,,,,
2015,More senior housing is not for seniors who have both social security and a  small pension.  Even though my means are modest the low income housing is only for those with minimal income not what in today's world could be described reasonable retirement.  My social security and pension add up to $3000.00 per month and I will not be able to live here much longer. Many of the families who get low income housing are involved in the underground economy enabling them to keep their stated income low and there is no annual means test for this housing as their is for federal low income housing.  I'd love to know the truth about who got apartments at 1725 Ocean Ave.,Housing,Affordability,Housing,Remove rent control/Address gaming the system,,,,,,,,,,,,
2015,"For me: find time to do things that I like, focus more on family and less on tasks that need to be done  For our community:  I fear that our community is becoming divided across class lines.  Although Santa Monica makes great effort to have affordable housing available to those in need, I fear that the middle class, and even the upper middle class (which I identify with) will not be sustainable in our community because of the high cost of housing.",Personal,Work-life balance/More free time,Housing,Affordability,,,,,,,,,,,,
2015,"I rent..the rent prices are climbing so high I feel I may not be able to stay here like I wish too. The property value climbs so fast I can't afford to buy property.     I feel the the heavy moneyed people moving into town are moving the creative types out.. That is very sad to me. The fabric of people and creativity are what STRUCK me about this city and drew me here.. My love for Samo is deep. Many friends... I see at coffee daily, have and share dinners with, attend the summer twilight concert series on the beach.... I live to bike the bike path and Venice neighborhoods.... I heart SaMo.....!!!!",Transport,Improved infrastructure for cycling/pedestrians,Housing,Affordability,,,,,,,,,,,,
2015,"Stop the jets from taking off at SM Airport.  Find real help for homeless, the aid is there, they don't seem to have the knowledge of this aid and the road to a better life.  The shelters are an unmitigated disaster and the people who staff them are there to collect and check, they do not care about getting the right information to the homeless people in need of direction and help.  Santa Monica is completely set up to help people whose lives have fallen apart and they just don't know how to use it, they get stuck in a homeless shelter/street life syndrome that is self-defeating and it's a dirty rotten shame because most of Santa Monica wants to help these people and the OPCC/Welfare system in place does NOT point them in the right direction or stay on them to get their lives back together.  I know.",Aiport/Air traffic,Air traffic noise,Local services,Homeless,,,,,,,,,,,,
2015,"More streetlights, cleaner alleys, less homeless people sleeping/hanging out in parks and other areas.",City general,Cleanliness/Maintenance,Local services,Homeless,,,,,,,,,,,,
2015,Eliminate the arrogant sense of entitlement people have here.  Lower the overwhelmingly high number of mentally ill and homeless.,Community,Other,Local services,Homeless,,,,,,,,,,,,
2015,Health activities for senior citizens and discount department stores like Target or Walmart in the area.,Cost of living,Affordability,Local services,Fitness and wellbeing facilities,,,,,,,,,,,,
2015,"The homeless problem is still significant and the manner the city has dealt with it is not working for me and my view of Santa Monica....we need to find another solution.  When the OPCC is funded better than a public school or library, we do not have residents best interest at heart.  Perhaps a sterner approach (as opposed to a penal approach) might be in order.  Also, denser also means more crowded, so city services need to be adjusted for denser development.",Development,Against development - Congestion/Overcrowding,Local services,Homeless,,,,,,,,,,,,
2015,"Cut back the development and the traffic it brings. Make all of our schools, not only the ones north of Montana, excellent schools. Do something about the high school and middle schools. We bought our home so that our children could attend public school.",Development,Against development - Congestion/Overcrowding,Local services,Schools,,,,,,,,,,,,
2015,Immediately stop all construction projects and growth of the city and discourage homeless as there are too many panhandling and sleeping in our parks and on sidewalks.,Development,Against development,Local services,Homeless,,,,,,,,,,,,
2015,Free exercise programs..  Don't allow developers to build building larger than 6 stories high along the Ocean Ave.,Development,Against development,Local services,Fitness and wellbeing facilities,,,,,,,,,,,,
2015,no more development the city is too congested  get the homeless off the street and into rehab facilities,Development,Against development,Local services,Homeless,,,,,,,,,,,,
2015,Scale back development; focus more on homeless population and citizen safety,Development,Against development,Local services,Homeless,,,,,,,,,,,,
2015,"More, more, more low income housing and housing for the homeless! If something is going to be done with the Airport, build more low income housing. Salt Lake City Utah made a commitment to reduce its homeless population by providing each with an apartment/home. Why can't Santa Monica follow? [XXX]. Yet I see new apartment after new apartment going up all over town. Please do something about this lack of housing for homeless. And be serious about it. Not half measures. Thank you.",Housing,Affordability,Local services,Homeless,,,,,,,,,,,,
2015,"Empower residents to exercise without the pressure of needing an expensive gym membership through a blog. And in general, stop being worried about high rental costs! Huge stress.",Housing,Affordability,Local services,Fitness and wellbeing facilities,,,,,,,,,,,,
2015,reduce homelessness; maintain affordable housing for diverse socioeconomic levels,Housing,Affordability,Local services,Homeless,,,,,,,,,,,,
2015,"I would like there to be more classes on holistic health approaches to diet and I would especially like UCLA Medical facilities to have their DRs trained on diet and sensitivities and how it is related to many aliments - instead of prescribing medication/or just symptom management. Also, we have to figure out a better way to helping the homeless population off the streets, receive medical & mental care...Perhaps there is a way to create a communal work/live situation involving ""tiny homes"" project. Such as using the design created by I-Beam Design - they created  the Pallet House Project that could house 33 million refugees for a year using discarded wooden pallets.  http://www.wimp.com/tinyhome/    That's something fantastic!",Local services,Health,Local services,Homeless,,,,,,,,,,,,
2015,"Better trash and litter cleanup efforts around areas with high tourist and beach traffic.  I wish we could hire homeless to clean up the sidewalks and berns of litter and dog poop.  Also, we have to figure out how to get the homeless people off the streets. They deficate and urinate in my neighborhood, use drugs in plain view and harass me as I walk my dog.   Plus, it sucks that we as human beings don't recognize mental illness and addiction as illness and not character flaw. Need more beds and safer shelters.",Local services,Cleanliness/Maintenance,Local services,Homeless,,,,,,,,,,,,
2015,"Two things:  1. The city seems to take a drastically different approach to aesthetics based on the neighborhood. I'd like to see more balance, where neighborhoods like Sunset Park get the same maintenance level as those north of Wilshire.   2. The quality of city schools varies greatly by neighborhood. I would like to see enough investment in schools such as Will Rogers such that it is at least as good as Grant and other Santa Monica schools.",Local services,Cleanliness/Maintenance,Local services,Education,,,,,,,,,,,,
2015,"WE NEED MORE SENIOR CITIZEN CENTERS.  OUR SENIORS ARE YOUNG SENIORS.       WE NEED MORE  ACADEMIC PROGRAMS ON AN ONGOING BASIS, OR MORE SUBJECTS LIKE CULTURE, LANGUAGES, ETC.",Local services,Other,Local services,Education,,,,,,,,,,,,
2015,lugares de ejercisio que ofrescan guardería para niños mientras los padres toman clases.  Ofrecer más clases para los padres de familia en español.,Local services,Other,Local services,Education,,,,,,,,,,,,
2015,"I look forward to finding paid work with colleagues (ie, a daily adult community).  I would love to have more Zumba in my life like the free Saturday classes at SM Place - perhaps at the Montana Library?!    NOTE RE. QUESTION ABOUT JOBS: I freelance edit for 15 hrs/week, but I count taking care of my kids and my PTA work absolutely as Jobs. I would appreciate a quantification of those hours as well.",Personal,Employment,Local services,Fitness and wellbeing facilities,,,,,,,,,,,,
2015,"I would like that the traffic has less impact on my life.  There are WAY TOO MANY CARS in Santa Monica!!!!  There are WAY TOO MANY HOMELESS PEOPLE  in Santa Monica!!! Why do the other cities come to feed the homeless in Santa Monica vs feeding them in Pacific Palisades?  Why does Santa Monica permit that?   With the metro coming to Santa Monica, there will be more people visiting - is Santa Monica ready for that?",Transport,Congestion,Local services,Homeless,,,,,,,,,,,,
2015,"I would like to be able to leave my bike on my front deck, without being stolen. I would LOVE t work in Santa Monica.",Crime and safety,Public safety,Other,Other,,,,,,,,,,,,
2015,"I'm going to list two.  the parking is terrible on my street.  the other is building.  the process to re-model or build anything in the city seems just awful.  I have not done it but have friends who have, both commercial and residential and they have been very unhappy dealing with the city.  there is too much difficulty in the system and inspectors who almost try and make things worse.  I knew one once who did.  we were friends and I had to just walk away when he was telling me about a project.  my house is not well suited for my lifestyle now and that is why I will probably move in a couple of years.  I won't go through a re-model in Santa Monica.",Transport,Parking,Other,Planning laws,,,,,,,,,,,,
2015,"Scholarship to help us as parents to be able to support our Kids thru their college and University. The City should be able to help the parents when they face a down time situation in their live.   Second, need more parking spaces. recently my street was remodeling and lost more then 10 parking spaces, that is an other issue that we face as a community.   If the City can provide a parking permit to be able to park any where in Santa Monica.",Transport,Parking,Other,Other,,,,,,,,,,,,
2015,Get back to riding a bike. Reading more for pleasure. Get rid of the jets flying in and out of Santa Monica airport (they spew jet fuel) and are very noisy.,Aiport/Air traffic,Air traffic noise,Personal,Be healthier,,,,,,,,,,,,
2015,"For myself, creating more opportunities for exercise and healthy eating.  For my community, working to create more opportunities for the seniors in Santa Monica to come together and socialize (including intergenerational activities).",Community,Integration/Neighborliness,Personal,Be healthier,,,,,,,,,,,,
2015,Mine - make time to meditate more / get centered in myself so I can be a better parent  Community - continue advocating for the best social service programs possible for our youth,Community,Integration/Neighborliness,Personal,Be healthier,,,,,,,,,,,,
2015,Would like to find more ways of getting involved in my community. Actually not sure if I am aware of all the possible ways a Santa Monica resident could get involved.,Community,Communication,Personal,Social/Engage with community,,,,,,,,,,,,
2015,I would like to eat healthier food but it is very expensive to do so.,Cost of living,Affordability,Personal,Be healthier,,,,,,,,,,,,
2015,"Reduce stress within my personal and professional life. Within the community of SaMo, see a reduction in stressors such as construction and congestion",Development,Against development - Congestion/Overcrowding,Personal,Less stress,,,,,,,,,,,,
2015,Community - I would like more reasonable debate on issues relative to the physical environment - change seems too hard for many.  Me- I would like to be more self motivated to take on more independent projects,Environment,Improve environmental sustainability,Personal,Other,,,,,,,,,,,,
2015,Continued information about recycling for community. Improve my cooking and meal planning for myself and my family!,Environment,Improve environmental sustainability,Personal,Personal achievement,,,,,,,,,,,,
2015,"I would like to be healthier and stronger physically. I need to incorporate more physical activities in my life. I would like to participate in committees, to improve my local community and encourage cultural shops, and events. Affordable housing to accommodate the middle class, who don't necessarily fall into the brackets currently offered in the affordable housing available already in the city.",Housing,Affordability,Personal,Be healthier,,,,,,,,,,,,
2015,Self: re-enter the workforce   Community: have more affordable housing options to match earning capacity in the city or surrounding areas.,Housing,Affordability,Personal,Employment,,,,,,,,,,,,
2015,"me - overcome recurring injuries so that I can exercise more regularly, reduce weight, be more physically fit    Community - Find ways to reduce homeless population, for their sake and for my comfort level",Local services,Homeless,Personal,Health,,,,,,,,,,,,
2015,Stop the fees/permits required for teaching exercise classes on the beach,Local services,Fitness and wellbeing facilities,Personal,Be healthier,,,,,,,,,,,,
2015,"If I was feeling better I would volunteer at the library, enroll in the tai chi class at the park and go back to body surfing and water aerobics at the college, therefore the most important thing I can do is try to solve my weird thyroid problem and achieve proper thyroid hormone replacement so I have more energy to participate. Medical care for my condition is appalling, not just for me but for many in the same boat. I DO volunteer work online every day, counseling others who have just been diagnosed. As to the wellbeing of the city, I follow local politics and am politically active and have recently joined several neighborhood associations where I hope to make a difference.",Personal,Volunteer,Personal,Be healthier,,,,,,,,,,,,
2015,Have more time to exercise and contribute to serving my community (but when would I sleep?),Personal,Be healthier,Personal,Volunteer,,,,,,,,,,,,
2015,"I would like to exercise more, and have more time to volunteer/be active in the community.",Personal,Be healthier,Personal,Volunteer,,,,,,,,,,,,
2015,Write short stories or a novel.  possibly volunteer at the Veterans' Administration.,Personal,Other,Personal,Volunteer,,,,,,,,,,,,
2015,"Would like to exercise more, would like to know more about volunteer opportunities",Personal,Be healthier,Personal,Volunteer,,,,,,,,,,,,
2015,Exercise more and work less hours. Be more engaging with my neighbors.,Personal,Be healthier,Personal,Social/Engage with community,,,,,,,,,,,,
2015,Get more exercise and do more volunteering.,Personal,Be healthier,Personal,Volunteer,,,,,,,,,,,,
2015,Work on my retirement,Personal,Other,Personal,Work-life balance/More free time,,,,,,,,,,,,
2015,"The parking situation is atrocious, the city keeps throwing money away on unnecessary things while making it more and more difficult and expensive to use a car here in town. It makes me furious.",Transport,Parking,Personal,Financial,,,,,,,,,,,,
2015,"I'd like to get more exercise for myself and drive my car less for the community, so the one thing I would like to do would be to walk more to more of my local destinations.",Transport,Improved infrastructure for cycling/pedestrians,Personal,Be healthier,,,,,,,,,,,,
2015,"I would like to exercise more.  I think if I felt safer riding a bike (although I think the city has done great things for bike riding safety), I would ride more.",Transport,Improved infrastructure for cycling/pedestrians,Personal,Be healthier,,,,,,,,,,,,
2015,Find a way to reduce the traffic in this city! This would greatly reduce stress level.,Transport,Congestion,Personal,Less stress,,,,,,,,,,,,
2015,More exercise for myself. Less traffic/people for Santa Monica.,Transport,Congestion,Personal,Be healthier,,,,,,,,,,,,
2015,"Traffic control, get a new job",Transport,Congestion,Personal,Employment,,,,,,,,,,,,
2015,1)  Support efforts to close the Santa Monica airport and put in a multi use park. The amount of soot that collects on the white tile in our back patio is shocking - we live 1/2 mile north of the airport - I can't imagine what the air quality is like south/down wind.  I'm very concerned about the supporters of Measure D - seeing how much money they spent to deceive SM residents. 2) By the time Expo line opens (next year?) I hope there will be a system in place to transport Expo line passengers from the stations to their ultimate destinations (electric golf carts? more Big Blue mini-buses?),Aiport/Air traffic,Negative airport/Air traffic,Transport,Public transport,,,,,,,,,,,,
2015,"The airport is awful - the noise, the pollution.  The traffic is horrendous.  I don't leave the house during certain times of the day but when it is unavoidable and I have to  leave the house I can't believe how long it takes me to get to places within the city of Santa Monica.  Something needs to be done about the traffic!!!",Aiport/Air traffic,Negative airport/Air traffic,Transport,Congestion,,,,,,,,,,,,
2015,Tied for first place:  - Close or *significantly* restrict the operation of Santa Monica airport  - Reduce the amount of traffic congestion West of Lincoln - it takes me 10 minutes in the morning to travel from 6th and Marine to the entrance to the 10 on 4th Street,Aiport/Air traffic,Negative airport/Air traffic,Transport,Congestion,,,,,,,,,,,,
2015,Solve the traffic problem-  Both in the streets and over our homes. Getting anywhere by car is the number one stressor in my life. Number two is the hindrance to my productivity and sleep from the jet noise out of SMO.,Aiport/Air traffic,Air traffic noise,Transport,Congestion,,,,,,,,,,,,
2015,"- Get rid of the jets flying in and out of the SM Airport  - Make sure there are visible crosswalks to continue to make SM a walkable city that is safe for walkers, especially walkers with young children",Aiport/Air traffic,Negative airport/Air traffic,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,
2015,Reduce automobile and jet traffic.,Aiport/Air traffic,Air traffic noise,Transport,Congestion,,,,,,,,,,,,
2015,Reduced traffic (ground and air); responsive city council;,City Council,Negative view of City Council,Transport,Congestion,,,,,,,,,,,,
2015,"Better pedestrian safety measures, more clean bathrooms available, more parking so I can park at the beach and workout without having to walk the mile to get there.",City general,Cleanliness/Maintenance,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,
2015,the noise level - traffic - is getting worse. Also some areas of SM are very dark with no lights.,City general,Street lighting,Transport,Congestion,,,,,,,,,,,,
2015,Separate cycle tracks or close down some roadways to motorized traffic to encourage and Socialize Active Transportation that is safe. ALSO- CONTINUE THE BIODIVERSITY THAT IS SANTA MONICA.,Community,Integration/Neighborliness,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,
2015,Community festivals or events away from the tourist centric Promenade or traffic improvements.,Community,Integration/Neighborliness,Transport,Congestion,,,,,,,,,,,,
2015,Be friendlier to each other and reduce traffic,Community,Integration/Neighborliness,Transport,Congestion,,,,,,,,,,,,
2015,I'm at Marine St. and Lincoln Bl. I would really like a Trader Joes in my neighborhood because the Whole Foods is the only grocery store that is walking distance and it is very expensive. More cafes and shops in our part of Lincoln Bl. would be nice also instead of all the seedy used car dealers and dirty auto shops. I'd like to see the power lines hidden underground in our part of Santa Monica like they are in the rich neighborhoods. We need a mirror on the alley way leading onto 11th Street. It's a hazard for all the residents on both blocks (Marine and Navy) (all the parking spots are off the alley) trying to pull onto 11th when cars are parked on 11th. You can't see who's coming until you're pulled out into traffic.,Cost of living,Affordability,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,
2015,"Affordable shopping (like Target), more parking, less traffic",Cost of living,Affordability,Transport,Parking,,,,,,,,,,,,
2015,the cost of living is too high and the traffic is terrible.,Cost of living,Affordability,Transport,Congestion,,,,,,,,,,,,
2015,I'd help the City come up with safer and well throughout cycling/running/swimming programs accessible for all ages.,Crime and safety,Public safety,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,
2015,"I love shopping at the farmer's market and buying local ... but I have to say, the prices aren't that reasonable.  I can get much cheaper produce at Trader Joe's for most items.  Also, the more bike lanes the better! [XXX]",Culture,Amenities and events,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,
2015,I lead walking tours of Downtown Santa Monica for the Santa Monica Conservancy and I would like to see some improvements in Pedestrian Safety...more motorcycle policemen downtown.  Plaques on historic buildings.,Culture,Amenities and events,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,
2015,"Slow the traffic down on neighborhood streets.  Keep cars off lincoln.  Stop the massive developments mid city.  encourage more walkable restaurants, cafes, bars.",Culture,Amenities and events,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,
2015,Greater enforcement of preferential parking. Remove ability of handicapped placards to use preferential parking. 90404 zip code needs more nightlife.,Culture,Amenities and events,Transport,Parking,,,,,,,,,,,,
